intervention,phase,ct_id,pmid
intervention1,phase 2,nct02886585,32483359
intervention1,phase 2,nct01439711,32125937
intervention1,phase 3,nct02380027,29552975
intervention1,phase 3,nct02380027,29025845
intervention1,phase 3,nct01309334,33006656
intervention1,phase 3,nct01309334,33151787
intervention2,phase 2,nct00979017,26025933
intervention2,phase 2,nct00545792,24201015
intervention2,phase 2,nct00607113,25426617
intervention2,phase 2,nct01113398,29666296
intervention3,phase 2,nct01530997,28712533
intervention3,phase 2,nct01530997,26581135
intervention3,phase 2,nct00402051,23332288
intervention3,phase 2,nct02392637,30998813
intervention3,phase 2,nct01828736,25459391
intervention3,phase 2,nct01719835,29703335
intervention3,phase 2,nct00408694,22178121
intervention3,phase 2,nct04430699,32928237
intervention3,phase 2,nct00231842,22055846
intervention3,phase 2,nct00191841,21487288
intervention3,phase 2,nct00536640,25792638
intervention3,phase 2,nct00660270,18650621
intervention3,phase 2,nct00334594,26538423
intervention3,phase 2,nct00334594,31212997
intervention3,phase 2,nct01160744,25377507
intervention3,phase 2,nct03498521,33219618
intervention3,phase 2,nct03498521,33687747
intervention3,phase 2,nct00623558,26304911
intervention3,phase 2,nct00667342,24637635
intervention3,phase 2,nct00301808,21415776
intervention3,phase 2,nct01836029,29931076
intervention3,phase 2,nct01836029,27810904
intervention3,phase 2,nct01836029,24807889
intervention3,phase 2,nct00869232,29567784
intervention3,phase 2,nct01566435,31147146
intervention3,phase 2,nct01566435,28797458
intervention3,phase 2,nct00409006,22534669
intervention3,phase 2,nct00620971,25662596
intervention3,phase 2,nct00349089,17488518
intervention3,phase 2,nct00066222,22560543
intervention3,phase 2,nct00798655,27733374
intervention3,phase 2,nct00842712,25939894
intervention3,phase 2,nct01878617,33823018
intervention3,phase 2,nct01388790,33561262
intervention3,phase 2,nct03382600,32145474
intervention3,phase 2,nct01490437,25429526
intervention3,phase 2,nct01830270,24824852
intervention3,phase 2,nct00201760,33084020
intervention3,phase 2,nct02199418,30976202
intervention3,phase 2,nct02199418,33154826
intervention3,phase 2,nct00547157,25596659
intervention3,phase 2,nct02633800,31648099
intervention3,phase 2,nct02891447,32556731
intervention3,phase 2,nct02499367,32436923
intervention3,phase 2,nct01088620,26094080
intervention3,phase 2,nct03547973,33929895
intervention3,phase 2,nct00137852,27412386
intervention3,phase 2,nct00614965,27492015
intervention3,phase 2,nct00500760,25596660
intervention3,phase 2,nct02573493,33683482
intervention3,phase 2,nct00645593,24802654
intervention3,phase 2,nct01084083,25057165
intervention3,phase 2,nct00483223,25847936
intervention3,phase 2,nct02092298,28643069
intervention3,phase 2,nct00736944,28797458
intervention3,phase 2,nct01611727,22817698
intervention3,phase 2,nct02205047,31126258
intervention3,phase 2,nct01585805,29223478
intervention3,phase 2,nct01585805,29338080
intervention3,phase 2,nct00859339,23228446
intervention3,phase 2,nct02882308,33714009
intervention3,phase 2,nct02489903,33569311
intervention3,phase 2,nct02489903,31231122
intervention3,phase 2,nct02489903,29552569
intervention3,phase 2,nct02489903,27840583
intervention3,phase 2,nct02489903,27403127
intervention3,phase 2,nct02489903,27065848
intervention3,phase 2,nct02489903,27065849
intervention3,phase 2,nct02489903,27855386
intervention3,phase 2,nct02489903,26933421
intervention3,phase 2,nct01057589,23726971
intervention3,phase 2,nct00226239,25057165
intervention3,phase 2,nct02177695,33568346
intervention3,phase 2,nct00583674,23108953
intervention3,phase 2,nct00548418,23591400
intervention3,phase 2,nct01918124,26607778
intervention3,phase 2,nct02268695,33684370
intervention3,phase 2,nct03469557,32561664
intervention3,phase 2,nct01524991,29248319
intervention3,phase 2,nct02296684,32665297
intervention3,phase 2,nct00267046,20855800
intervention3,phase 2,nct03158129,33603241
intervention3,phase 2,nct01762150,29933095
intervention3,phase 2,nct02161692,25344361
intervention3,phase 2,nct00169247,23341517
intervention3,phase 2,nct01081041,26768732
intervention3,phase 2,nct02397486,31748905
intervention3,phase 2,nct01437449,29540603
intervention3,phase 2,nct00076310,29371473
intervention3,phase 2,nct01670500,32097092
intervention3,phase 3,nct03615326,33167735
intervention3,phase 3,nct02170090,26228433
intervention3,phase 3,nct03126916,34028986
intervention3,phase 3,nct02853305,34051178
intervention3,phase 3,nct00134030,27569442
intervention3,phase 3,nct00134030,25421877
intervention3,phase 3,nct00134030,31401903
intervention3,phase 3,nct02899299,33485464
intervention3,phase 3,nct02899299,33206991
intervention3,phase 3,nct03656536,32677452
intervention3,phase 3,nct00982111,25701171
intervention3,phase 3,nct02358031,31679945
intervention3,phase 3,nct03661320,31823654
intervention3,phase 3,nct02999087,33125944
intervention3,phase 3,nct04267848,33878954
intervention3,phase 3,nct03088540,33581821
intervention3,phase 3,nct00803062,28756902
intervention3,phase 3,nct00803062,25638326
intervention3,phase 3,nct00803062,24552320
intervention3,phase 3,nct00981058,27207107
intervention3,phase 3,nct00981058,26980471
intervention3,phase 3,nct00981058,26045340
intervention3,phase 3,nct00981058,31445354
intervention3,phase 3,nct00981058,29158123
intervention3,phase 3,nct01671449,32596783
intervention3,phase 3,nct01544179,26159065
intervention3,phase 3,nct00686114,32958820
intervention3,phase 3,nct00083551,27581518
intervention3,phase 3,nct00083551,22689675
intervention3,phase 3,nct00083551,16525139
intervention3,phase 3,nct03629925,34048947
intervention3,phase 3,nct02494583,33792646
intervention3,phase 3,nct02494583,32880601
intervention3,phase 3,nct01101451,31912685
intervention3,phase 3,nct00806923,21245868
intervention3,phase 3,nct00806923,20978447
intervention3,phase 3,nct00806923,20150572
intervention3,phase 3,nct04194944,33150799
intervention3,phase 3,nct00572169,23603914
intervention3,phase 3,nct00572169,22674807
intervention3,phase 3,nct00572169,23305732
intervention3,phase 3,nct00572169,22689675
intervention3,phase 3,nct02036164,31074236
intervention3,phase 3,nct00567567,31454045
intervention3,phase 3,nct00567567,32530765
intervention3,phase 3,nct00193882,29248399
intervention3,phase 3,nct02768558,27923550
intervention3,phase 3,nct01041404,20728210
intervention3,phase 3,nct01041404,25038874
